name_he,name_lat,source,source_id
חלבלוב פעוט,Euphorbia chamaepeplus,wildflowers,1441
מורטיה מחוספסת,Morettia philaeana,wildflowers,1442
מורטיה קטנת-פרחים,Morettia parviflora,wildflowers,1443
ציפורנית דמשקאית,Silene damascena,wildflowers,1445
לענת יהודה,Artemisia judaica,wildflowers,1446
לפית סיני,Lappula sinaica,wildflowers,1447
טלפיון כדורי,Telephium sphaerospermum,wildflowers,1448
לוניאה קוצנית,Launaea spinosa,wildflowers,1449
שמשון הדור,Helianthemum vesicarium,wildflowers,145
לוניאה מחודדת,Launaea mucronarta,wildflowers,1450
סביון צהוב,Senecio flavus,wildflowers,1451
מרווה מצרית,Salvia aegyptiaca,wildflowers,1452
קדד מדברי,Astragalus arpilobus,wildflowers,1453
מררית כחולת-זרעון,Picris cyanocarpa,wildflowers,1454
ציפורנית החולות,Silene villosa,wildflowers,1455
קדד דמשקאי,Astragalus campylorrhynchus,wildflowers,1456
קדד מקומט,Astragalus crenatus,wildflowers,1457
שלוש-כנפות מדבריות,Tripteris vaillantii,wildflowers,1458
שיטת המשוכות,Vachellia farnesiana,wildflowers,1459
צלף סחוסי,Capparis sinaica,wildflowers,1460
